PurchaseOrderID,PurchaseOrderLineID,ReceivedOuters,ExpectedUnitPricePerOuter,OrderDate,SupplierID
1,1,18,5.5,2019-01-01,2
1,2,21,5.5,2019-01-01,2
1,3,18,5.5,2019-01-01,2
10,136,83,12.5,2019-01-02,10
11,137,88,9.5,2019-01-02,12
11,138,15,112.5,2019-01-02,12
11,139,196,88.5,2019-01-02,12
12,140,11,84.0,2019-01-03,4
12,141,5,102.0,2019-01-03,4
12,142,6,19.0,2019-01-03,4
12,143,6,22.0,2019-01-03,4
12,144,27,8.0,2019-01-03,4
12,145,36,8.0,2019-01-03,4
12,146,27,8.5,2019-01-03,4
12,147,8,18.0,2019-01-03,4
12,148,18,228.0,2019-01-03,4
13,149,26,4.5,2019-01-03,5
13,150,32,4.5,2019-01-03,5
14,151,11,22.0,2019-01-03,7
14,152,24,130.0,2019-01-03,7
14,153,5,80.0,2019-01-03,7
14,154,6,210.0,2019-01-03,7
14,155,8,470.0,2019-01-03,7
14,156,10,110.0,2019-01-03,7
14,157,23,110.0,2019-01-03,7
14,158,4,13.75,2019-01-03,7
14,159,7,13.75,2019-01-03,7
14,160,17,26.25,2019-01-03,7
14,161,23,11.25,2019-01-03,7
14,162,4,44.2,2019-01-03,7
14,163,4,36.0,2019-01-03,7
14,164,6,38.4,2019-01-03,7
14,165,6,170.0,2019-01-03,7
14,166,9,160.0,2019-01-03,7
15,167,47,145.0,2019-01-03,10
15,168,42,155.0,2019-01-03,10
16,169,104,12.0,2019-01-03,12
16,170,111,12.0,2019-01-03,12
16,171,99,12.0,2019-01-03,12
17,172,9,84.0,2019-01-04,4
17,173,12,90.0,2019-01-04,4
17,174,21,8.0,2019-01-04,4
17,175,24,8.0,2019-01-04,4
17,176,16,228.0,2019-01-04,4
17,177,13,228.0,2019-01-04,4
18,178,33,4.5,2019-01-04,5
18,179,31,4.5,2019-01-04,5
19,180,5,140.0,2019-01-04,7
19,181,12,160.0,2019-01-04,7
19,182,7,110.0,2019-01-04,7
19,183,9,15.0,2019-01-04,7
19,184,13,20.4,2019-01-04,7
19,185,8,180.0,2019-01-04,7
2,4,8,84.0,2019-01-01,4
2,5,1,84.0,2019-01-01,4
2,6,1,84.0,2019-01-01,4
2,7,2,84.0,2019-01-01,4
2,8,7,84.0,2019-01-01,4
2,9,3,96.0,2019-01-01,4
2,10,5,96.0,2019-01-01,4
2,11,1,96.0,2019-01-01,4
2,12,9,102.0,2019-01-01,4
2,13,6,84.0,2019-01-01,4
2,14,6,84.0,2019-01-01,4
2,15,9,84.0,2019-01-01,4
2,16,2,90.0,2019-01-01,4
2,17,1,96.0,2019-01-01,4
2,18,14,96.0,2019-01-01,4
2,19,14,96.0,2019-01-01,4
2,20,6,17.0,2019-01-01,4
2,21,10,17.0,2019-01-01,4
2,22,16,19.0,2019-01-01,4
2,23,12,19.0,2019-01-01,4
2,24,7,22.0,2019-01-01,4
2,25,6,22.0,2019-01-01,4
2,26,11,24.0,2019-01-01,4
2,27,22,8.5,2019-01-01,4
2,28,25,8.0,2019-01-01,4
2,29,22,8.5,2019-01-01,4
2,30,24,8.0,2019-01-01,4
2,31,23,8.0,2019-01-01,4
2,32,23,18.0,2019-01-01,4
2,33,16,18.0,2019-01-01,4
2,34,16,180.0,2019-01-01,4
2,35,17,180.0,2019-01-01,4
2,36,14,180.0,2019-01-01,4
2,37,12,180.0,2019-01-01,4
20,186,50,145.0,2019-01-04,10
21,187,2,84.0,2019-01-05,4
21,188,6,90.0,2019-01-05,4
21,189,8,17.0,2019-01-05,4
21,190,21,8.0,2019-01-05,4
21,191,18,228.0,2019-01-05,4
22,192,35,4.5,2019-01-05,5
23,193,8,160.0,2019-01-05,7
23,194,13,13.75,2019-01-05,7
23,195,2,15.0,2019-01-05,7
23,196,11,82.8,2019-01-05,7
23,197,2,170.0,2019-01-05,7
23,198,5,180.0,2019-01-05,7
24,199,83,15.0,2019-01-05,10
25,200,204,88.5,2019-01-05,12
25,201,102,12.0,2019-01-05,12
26,202,2,84.0,2019-01-07,4
26,203,2,84.0,2019-01-07,4
